"id","timestampStart","timestampEnd","bikeNumber","stationStart","stationEnd","startLocationLat","startLocationLon","endLocationLat","endLocationLon","distanceInMeters","timeInMinutes"
"64","2022-10-13","2022-10-13","820","18","13","46.044629","14.486699","46.047565","14.495687","768","9"
"65","2022-10-13","2022-10-13","820","13","3","46.047565","14.495687","46.050388","14.504623","759","8"
"66","2022-10-13","2022-10-13","820","3","9","46.050388","14.504623","46.057421","14.510265","895","9"
"67","2022-10-13","2022-10-13","820","9","46","46.057421","14.510265","46.059433","14.52051","824","9"
"68","2022-10-14","2022-10-14","820","46","8","46.059433","14.52051","46.05682","14.50551","1197","12"
"69","2022-10-14","2022-10-14","820","8","17","46.05682","14.50551","46.053144","14.513479","740","8"
"70","2022-10-14","2022-10-14","820","17","12","46.053144","14.513479","46.06361","14.51315","1164","12"
"71","2022-10-14","2022-10-14","820","12","77","46.06361","14.51315","46.068727","14.516858","637","12"
"72","2022-10-14","2022-10-14","820","77","11","46.068727","14.516858","46.06005","14.51302","1009","8"
"73","2022-10-14","2022-10-14","820","11","17","46.06005","14.51302","46.053144","14.513479","768","24"
"74","2022-10-14","2022-10-14","820","17","48","46.053144","14.513479","46.056405","14.540901","2153","15"
"75","2022-10-14","2022-10-14","820","48","25","46.056405","14.540901","46.055801","14.534156","526","23"
"76","2022-10-12","2022-10-12","834","54","41","46.065206","14.529911","46.041753","14.477016","4853","27"
"77","2022-10-12","2022-10-12","834","41","3","46.041753","14.477016","46.050388","14.504623","2342","18"
"78","2022-10-12","2022-10-12","834","3","19","46.050388","14.504623","46.05952","14.4982","1130","14"
"79","2022-10-12","2022-10-12","834","19","54","46.05952","14.4982","46.065206","14.529911","2534","29"
"80","2022-10-13","2022-10-13","834","54","49","46.065206","14.529911","46.054398","14.553319","2173","17"
"81","2022-10-13","2022-10-13","834","49","24","46.054398","14.553319","46.05441","14.52978","1822","15"
"82","2022-10-13","2022-10-13","834","24","49","46.05441","14.52978","46.054398","14.553319","1822","11"
"83","2022-10-14","2022-10-14","834","49","70","46.054398","14.553319","46.05722","14.583537","2359","11"
